,awardedBy,player,timestamp,points,note,reason
0,Sassyteaux,Arzans,2022-11-23 01:36:17,10,,On Time Bonus
1,Sassyteaux,Braewynn,2022-11-23 01:36:17,10,,On Time Bonus
2,Sassyteaux,Carlitoh,2022-11-23 01:36:17,10,,On Time Bonus
3,Sassyteaux,Cronõx,2022-11-23 01:36:17,10,,On Time Bonus
4,Sassyteaux,Cyne,2022-11-23 01:36:17,10,,On Time Bonus
5,Sassyteaux,Dottymcdot,2022-11-23 01:36:17,10,,On Time Bonus
6,Sassyteaux,Dpswarr,2022-11-23 01:36:17,10,,On Time Bonus
7,Sassyteaux,Drakdon,2022-11-23 01:36:17,10,,On Time Bonus
8,Sassyteaux,Dreshden,2022-11-23 01:36:17,10,,On Time Bonus
9,Sassyteaux,Fluke,2022-11-23 01:36:17,10,,On Time Bonus
10,Sassyteaux,Grizzleebear,2022-11-23 01:36:17,10,,On Time Bonus
11,Sassyteaux,Gwynnael,2022-11-23 01:36:17,10,,On Time Bonus
12,Sassyteaux,Imakeitsnow,2022-11-23 01:36:17,10,,On Time Bonus
13,Sassyteaux,Kadox,2022-11-23 01:36:17,10,,On Time Bonus
14,Sassyteaux,Lethanglas,2022-11-23 01:36:17,10,,On Time Bonus
15,Sassyteaux,Madmoizel,2022-11-23 01:36:17,10,,On Time Bonus
16,Sassyteaux,Majitazi,2022-11-23 01:36:17,10,,On Time Bonus
17,Sassyteaux,Misshenry,2022-11-23 01:36:17,10,,On Time Bonus
18,Sassyteaux,Progresso,2022-11-23 01:36:17,10,,On Time Bonus
19,Sassyteaux,Rizann,2022-11-23 01:36:17,10,,On Time Bonus
20,Sassyteaux,Sassyteaux,2022-11-23 01:36:17,10,,On Time Bonus
21,Sassyteaux,Smokestacks,2022-11-23 01:36:17,10,,On Time Bonus
22,Sassyteaux,Tsekuda,2022-11-23 01:36:17,10,,On Time Bonus
23,Sassyteaux,Vanderlay,2022-11-23 01:36:17,10,,On Time Bonus
24,Sassyteaux,Arzans,2022-11-23 01:36:31,20,,On Time Bonus
25,Sassyteaux,Braewynn,2022-11-23 01:36:31,20,,On Time Bonus
26,Sassyteaux,Carlitoh,2022-11-23 01:36:31,20,,On Time Bonus
27,Sassyteaux,Cronõx,2022-11-23 01:36:31,20,,On Time Bonus
28,Sassyteaux,Cyne,2022-11-23 01:36:31,20,,On Time Bonus
29,Sassyteaux,Dottymcdot,2022-11-23 01:36:31,20,,On Time Bonus
30,Sassyteaux,Dpswarr,2022-11-23 01:36:31,20,,On Time Bonus
31,Sassyteaux,Drakdon,2022-11-23 01:36:31,20,,On Time Bonus
32,Sassyteaux,Dreshden,2022-11-23 01:36:31,20,,On Time Bonus
33,Sassyteaux,Fluke,2022-11-23 01:36:31,20,,On Time Bonus
34,Sassyteaux,Grizzleebear,2022-11-23 01:36:31,20,,On Time Bonus
35,Sassyteaux,Gwynnael,2022-11-23 01:36:31,20,,On Time Bonus
36,Sassyteaux,Imakeitsnow,2022-11-23 01:36:31,20,,On Time Bonus
37,Sassyteaux,Kadox,2022-11-23 01:36:31,20,,On Time Bonus
38,Sassyteaux,Lethanglas,2022-11-23 01:36:31,20,,On Time Bonus
39,Sassyteaux,Madmoizel,2022-11-23 01:36:31,20,,On Time Bonus
40,Sassyteaux,Majitazi,2022-11-23 01:36:31,20,,On Time Bonus
41,Sassyteaux,Misshenry,2022-11-23 01:36:31,20,,On Time Bonus
42,Sassyteaux,Progresso,2022-11-23 01:36:31,20,,On Time Bonus
43,Sassyteaux,Rizann,2022-11-23 01:36:31,20,,On Time Bonus
44,Sassyteaux,Sassyteaux,2022-11-23 01:36:31,20,,On Time Bonus
45,Sassyteaux,Smokestacks,2022-11-23 01:36:31,20,,On Time Bonus
46,Sassyteaux,Tsekuda,2022-11-23 01:36:31,20,,On Time Bonus
47,Sassyteaux,Vanderlay,2022-11-23 01:36:31,20,,On Time Bonus
48,Sassyteaux,Updög,2022-11-23 01:53:31,20,,Raid Completion Bonus
49,Sassyteaux,Springrolls,2022-11-23 03:27:46,20,,Raid Completion Bonus
50,Sassyteaux,Springrolls,2022-11-23 03:27:54,10,,On Time Bonus
51,Sassyteaux,Arzans,2022-11-23 04:55:54,20,,Raid Completion Bonus
52,Sassyteaux,Braewynn,2022-11-23 04:55:54,20,,Raid Completion Bonus
53,Sassyteaux,Cronõx,2022-11-23 04:55:54,20,,Raid Completion Bonus
54,Sassyteaux,Haislicat,2022-11-23 04:55:54,20,,Raid Completion Bonus
55,Sassyteaux,Madmoizel,2022-11-23 04:55:54,20,,Raid Completion Bonus
56,Sassyteaux,Progresso,2022-11-23 04:55:54,20,,Raid Completion Bonus
57,Sassyteaux,Rizann,2022-11-23 04:55:54,20,,Raid Completion Bonus
58,Sassyteaux,Sassyteaux,2022-11-23 04:55:54,20,,Raid Completion Bonus
59,Sassyteaux,Vanderlay,2022-11-23 04:55:54,20,,Raid Completion Bonus
